epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.828125,0.4349098205566406,,
0,99,0.953125,0.1595434695482254,,
0,149,0.9375,0.20655405521392822,,
0,199,0.953125,0.10463831573724747,,
0,249,0.984375,0.06209501996636391,,
0,299,0.9375,0.22942300140857697,,
0,349,0.96875,0.20945174992084503,,
0,399,0.953125,0.21398618817329407,,
0,449,0.984375,0.03644142299890518,,
0,499,0.9375,0.11855843663215637,,
0,549,0.984375,0.07931043207645416,,
0,599,0.96875,0.07790133357048035,,
0,649,0.984375,0.09202007204294205,,
0,699,1.0,0.05676671117544174,,
0,749,0.984375,0.06941400468349457,,
0,799,0.96875,0.09643683582544327,,
0,849,0.96875,0.14314433932304382,,
0,899,0.984375,0.09982970356941223,,
0,936,,,0.9863781929016113,0.04275522008538246
1,949,0.984375,0.05448738858103752,,
1,999,0.984375,0.024687107652425766,,
1,1049,1.0,0.017961082980036736,,
1,1099,1.0,0.0035886531695723534,,
1,1149,1.0,0.01708417385816574,,
1,1199,0.984375,0.09248291701078415,,
1,1249,0.96875,0.036701250821352005,,
1,1299,0.984375,0.04371097311377525,,
1,1349,0.984375,0.027045052498579025,,
1,1399,1.0,0.005654178559780121,,
1,1449,0.984375,0.0431545116007328,,
1,1499,0.984375,0.062295157462358475,,
1,1549,1.0,0.020398961380124092,,
1,1599,0.96875,0.11979790031909943,,
1,1649,0.953125,0.08480674028396606,,
1,1699,1.0,0.0025665373541414738,,
1,1749,0.984375,0.023722516372799873,,
1,1799,1.0,0.0026445258408784866,,
1,1849,0.984375,0.030099423602223396,,
1,1873,,,0.9904847741127014,0.028280867263674736
2,1899,1.0,0.004071003291755915,,
2,1949,1.0,0.0025756307877600193,,
2,1999,0.984375,0.13655966520309448,,
2,2049,1.0,0.005128474906086922,,
2,2099,0.984375,0.07413128763437271,,
2,2149,0.96875,0.05396163836121559,,
2,2199,1.0,0.002464938908815384,,
2,2249,0.984375,0.03228399530053139,,
2,2299,0.96875,0.10900476574897766,,
2,2349,1.0,0.0020629791542887688,,
2,2399,0.984375,0.06212274730205536,,
2,2449,1.0,0.004221317358314991,,
2,2499,0.984375,0.06248168647289276,,
2,2549,0.984375,0.11713023483753204,,
2,2599,1.0,0.014985346235334873,,
2,2649,0.953125,0.18157483637332916,,
2,2699,0.984375,0.02735745534300804,,
2,2749,0.984375,0.06494711339473724,,
2,2799,1.0,0.0062004635110497475,,
2,2810,,,0.9920873641967773,0.02377782016992569
3,2849,1.0,0.003336887573823333,,
3,2899,1.0,0.01052949484437704,,
3,2949,1.0,0.0049675810150802135,,
3,2999,0.984375,0.023712648078799248,,
3,3049,1.0,0.0030515817925333977,,
3,3099,0.984375,0.05680413171648979,,
3,3149,0.984375,0.04246019572019577,,
3,3199,1.0,0.0016869698883965611,,
3,3249,1.0,0.009447885677218437,,
3,3299,0.984375,0.022751696407794952,,
3,3349,1.0,0.011911270208656788,,
3,3399,0.984375,0.014810645021498203,,
3,3449,0.984375,0.03678062930703163,,
3,3499,0.984375,0.02694450132548809,,
3,3549,0.984375,0.08214347064495087,,
3,3599,0.984375,0.04859572649002075,,
3,3649,1.0,0.014791917987167835,,
3,3699,0.984375,0.057347167283296585,,
3,3747,,,0.9913862347602844,0.028766904026269913
4,3749,1.0,0.002067437395453453,,
4,3799,1.0,0.0015381156699731946,,
4,3849,1.0,0.0013384029734879732,,
4,3899,1.0,0.003212752752006054,,
4,3949,1.0,0.0013250409392639995,,
4,3999,0.984375,0.08883354812860489,,
4,4049,1.0,0.0016398580046370625,,
4,4099,1.0,0.0026272302493453026,,
4,4149,1.0,0.012350672855973244,,
4,4199,1.0,0.0027445596642792225,,
4,4249,1.0,0.0016886000521481037,,
4,4299,1.0,0.002714239526540041,,
4,4349,1.0,0.004271393641829491,,
4,4399,1.0,0.0006004621391184628,,
4,4449,1.0,0.005017302930355072,,
4,4499,1.0,0.0022545536048710346,,
4,4549,0.96875,0.061778489500284195,,
4,4599,1.0,0.002334229415282607,,
4,4649,1.0,0.003790325252339244,,
4,4684,,,0.9916867017745972,0.02950422652065754
